2414,10401,-4420,-410,-7078,10141,326,-3653,3824,1930,8990,5236,-7257,-2874,3667,7658,11458,-6642,-4993,2832,2965,17091,13352,377,3519,9978,5812,19289,12587,-3749,-21243,5588,2815,82,17112,633,9967,10158,23282,-9786,-4811,10784,14102,-3700,-3063,-6118,2910,22177,6375,3298,14621,11915,-284,10624,-575,4507,3662,5583,19659,-12876,8103,5508,5241,-380,13697,6615
-4268,-28069,25333,17515,-3564,22594,-2214,4949,-487,-3874,4598,23490,-1918,-4780,11745,4843,-2677,33811,19529,-2430,2725,7062,7910,25530,9505,24341,8265,22134,3924,-2460,22850,2723,5559,17731,-18698,-943,16848,4710,13662,5907,8978,16925,-3759,1220,11085,3940,5093,-16193,15972,12863,15518,17244,5128,36317,-12639,28053,10992,1819,3321,9017,-21008,18533,11122,19199,21655,-1478
-13195,15088,-21767,8603,-3377,-8209,-544,4811,8474,-5877,2245,3845,12970,-4764,3315,3837,2218,3455,-15210,4163,4190,-5978,-29548,-676,8122,17138,22378,10735,5458,10867,-14017,535,24215,32412,-10360,11469,-8443,-17846,-4500,689,-1366,24202,2808,22502,21134,-6947,462,5849,8477,13159,23499,21470,-21558,-7463,-10677,-17392,-4760,12331,4586,2405,-12573,2943,10505,-48363,23739,138
5107,-7375,24489,-18281,-19817,2016,16838,29512,8798,6830,-21922,12288,-5697,3253,12716,42731,7084,39594,17621,-22146,8720,16548,-11466,22482,-10322,6213,-8347,12623,17479,3235,5702,-18043,17301,-15535,-491,-3188,-28501,-15248,14428,4231,15735,-3125,-9749,-15795,-5438,13375,14327,-13981,17063,-11543,445,10419,-14870,21269,4977,22628,-16178,-1162,22307,-18210,1007,21037,7567,-4698,18634,14433
3528,17343,-18380,-447,-6742,11928,17417,24369,-13215,2687,-1232,-9649,8692,-7269,16511,4199,-1040,15049,1495,32209,4161,9765,806,1024,3638,23915,-21313,-4365,-14207,14903,2386,26715,-9068,22225,-28508,8623,18381,9522,-25733,20511,6478,-16784,32424,14055,-22992,6157,26896,7992,15919,24261,-10241,28783,12777,39847,-17554,17644,13105,25340,17351,-17624,-3105,23395,13318,-12326,36286,4394
-780,-30054,15720,-15113,-7302,16377,11359,12000,-14960,-19366,1137,1315,2394,10818,-39270,5163,-20728,8027,19150,16299,26126,20863,24703,5093,-27968,5073,-10571,19257,-212,18540,26941,-2878,-35649,741,948,12577,-11780,-2580,20044,-19786,-4162,-13893,-16772,-3578,11223,476,8661,12537,-28797,-7345,-399,19493,-12243,1761,11112,-6149,2660,-5491,17066,13868,-15533,11140,-12427,-16811,-3519,2730
-6704,-4365,-7378,4908,-19372,-2012,6792,-23452,6162,11901,41569,-2244,35602,10190,4460,-15834,-1140,24947,-9780,31126,-27523,5720,9667,3738,-9449,-6353,4943,-11384,10488,-12727,-2703,-10473,9936,12373,-2438,9921,33073,11367,7972,9941,-10025,-5919,609,3375,17386,23776,-19557,-8420,-3322,14660,-42167,31497,-7995,-4846,-16811,-12281,13432,402,22341,-5373,-17465,-11391,-9126,-114,7393,-3611
-1035,-4941,11756,-3062,12902,2887,8595,7620,-9262,10418,42834,-13197,4799,-12486,16975,-10837,-3885,-34684,-8851,6861,-33114,8810,-22363,17183,-16891,-922,-16058,-21319,18377,6629,-9377,-5827,3237,-391,-37631,-5950,-6521,10635,-17638,7249,-13200,13602,-887,24199,-4712,7553,-4,-2174,-5003,-6287,-9494,56,11096,-1955,1450,33103,-13603,40333,3599,10593,1010,-9767,21440,-6653,-14350,9807
-23774,24540,1598,-9106,12636,23810,686,28898,-3153,-9032,20154,-6266,27583,989,-4153,25563,-22773,-1009,16532,-14504,-28490,-21765,-15120,-3864,25848,-12992,1407,10732,7590,7808,13398,-3409,-19542,6835,5832,9124,-13237,9240,-12048,16037,24199,23097,8205,-8471,17973,15076,-6484,2473,314,22817,12993,-37009,-9126,1800,13402,1849,4398,-7258,4281,12476,15148,4258,27092,5630,17350,1635
-10936,676,5339,783,4825,-6975,7715,-8931,14296,6942,-803,1669,-3063,-4035,-890,20020,8430,5154,-4257,16862,-790,4558,-360,16308,-4791,21880,4991,-20327,-11091,34653,19730,11138,2913,10688,-9944,4187,26427,15699,10555,39293,8174,-2401,15566,5633,-1580,-4441,3573,200,-10796,-10002,-26214,-105,3059,6923,-10865,9824,7502,5231,15897,6613,936,3234,14768,-1727,-16146,12343
