# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
1,vss,1,,,,,,,,,,,
2,vss,2,,,,,,,,,,,
3,vss,3,,,,,,,,,,,
4,vss,4,,,,,,,,,,,
5,vss,5,,,,,,,,,,,
6,vss,6,,,,,,,,,,,
7,vss,7,,,,,,,,,,,
8,vss,8,,,,,,,,,,,
9,vss,9,,,,,,,,,,,
10,vss,10,,,,,,,,,,,
11,vss,11,,,,,,,,,,,
12,vss,12,,,,,,,,,,,
13,vss,13,,,,,,,,,,,
14,vss,14,,,,,,,,,,,
15,vss,15,,,,,,,,,,,
16,vss,16,,,,,,,,,,,
17,vss,17,,,,,,,,,,,
18,vss,18,,,,,,,,,,,
19,vss,19,,,,,,,,,,,
20,vss,20,,,,,,,,,,,
21,vss,21,,,,,,,,,,,
22,vss,22,,,,,,,,,,,
23,vss,23,,,,,,,,,,,
24,vss,24,,,,,,,,,,,
25,vss,25,,,,,,,,,,,
26,vss,26,,,,,,,,,,,
27,vss,27,,,,,,,,,,,
28,vss,28,,,,,,,,,,,
29,vss,29,,,,,,,,,,,
30,vss,30,,,,,,,,,,,
31,vss,31,,,,,,,,,,,
32,vss,32,,,,,,,,,,,
33,vss,33,,,,,,,,,,,
34,vss,34,,,,,,,,,,,
35,vss,35,,,,,,,,,,,
36,vss,36,,,,,,,,,,,
37,vss,37,,,,,,,,,,,
38,vss,38,,,,,,,,,,,
39,vss,39,,,,,,,,,,,
40,vss,40,,,,,,,,,,,
41,vss,41,,,,,,,,,,,
42,vss,42,,,,,,,,,,,
43,vss,43,,,,,,,,,,,
44,vss,44,,,,,,,,,,,
45,vdd,45,,,,,,,,,,,
46,vddio,46,,,,,,,,,,,
47,vddio,47,,,,,,,,,,,
48,vdd,48,,,,,,,,,,,
49,din22,49,,,,,,,,,,,
50,din0,50,,,,,,,,,,,
51,din21,51,,,,,,,,,,,
52,vddio,52,,,,,,,,,,,
53,din24,53,,,,,,,,,,,
54,din2,54,,,,,,,,,,,
55,din23,55,,,,,,,,,,,
56,din1,56,,,,,,,,,,,
57,din26,57,,,,,,,,,,,
58,vss,58,,,,,,,,,,,
59,din25,59,,,,,,,,,,,
60,vss,60,,,,,,,,,,,
61,vss,61,,,,,,,,,,,
62,vddio,62,,,,,,,,,,,
63,vss,63,,,,,,,,,,,
64,vdd,64,,,,,,,,,,,
65,vdd,65,,,,,,,,,,,
66,din4,66,,,,,,,,,,,
67,vddio,67,,,,,,,,,,,
68,din3,68,,,,,,,,,,,
69,din28,69,,,,,,,,,,,
70,din6,70,,,,,,,,,,,
71,din27,71,,,,,,,,,,,
72,din5,72,,,,,,,,,,,
73,din30,73,,,,,,,,,,,
74,din8,74,,,,,,,,,,,
75,din29,75,,,,,,,,,,,
76,din7,76,,,,,,,,,,,
77,din32,77,,,,,,,,,,,
78,vss,78,,,,,,,,,,,
79,din31,79,,,,,,,,,,,
80,vss,80,,,,,,,,,,,
81,vss,81,,,,,,,,,,,
82,vddio,82,,,,,,,,,,,
83,vss,83,,,,,,,,,,,
84,vdd,84,,,,,,,,,,,
85,vdd,85,,,,,,,,,,,
86,din10,86,,,,,,,,,,,
87,vddio,87,,,,,,,,,,,
88,din9,88,,,,,,,,,,,
89,din34,89,,,,,,,,,,,
90,din12,90,,,,,,,,,,,
91,din33,91,,,,,,,,,,,
92,din11,92,,,,,,,,,,,
93,din36,93,,,,,,,,,,,
94,din14,94,,,,,,,,,,,
95,din35,95,,,,,,,,,,,
96,din13,96,,,,,,,,,,,
97,din38,97,,,,,,,,,,,
98,vss,98,,,,,,,,,,,
99,din37,99,,,,,,,,,,,
100,vss,100,,,,,,,,,,,
101,vss,101,,,,,,,,,,,
102,vddio,102,,,,,,,,,,,
103,vss,103,,,,,,,,,,,
104,vdd,104,,,,,,,,,,,
105,vdd,105,,,,,,,,,,,
106,din16,106,,,,,,,,,,,
107,vddio,107,,,,,,,,,,,
108,din15,108,,,,,,,,,,,
109,din40,109,,,,,,,,,,,
110,din18,110,,,,,,,,,,,
111,din39,111,,,,,,,,,,,
112,din17,112,,,,,,,,,,,
113,din42,113,,,,,,,,,,,
114,din20,114,,,,,,,,,,,
115,din41,115,,,,,,,,,,,
116,din19,116,,,,,,,,,,,
117,vdd,117,,,,,,,,,,,
118,vss,118,,,,,,,,,,,
119,vddio,119,,,,,,,,,,,
120,vss,120,,,,,,,,,,,
121,vss,121,,,,,,,,,,,
122,vdd,122,,,,,,,,,,,
123,vss,123,,,,,,,,,,,
124,vddio,124,,,,,,,,,,,
125,vss,125,,,,,,,,,,,
126,vdd,126,,,,,,,,,,,
127,vss,127,,,,,,,,,,,
128,vss,128,,,,,,,,,,,
129,vss,129,,,,,,,,,,,
130,vss,130,,,,,,,,,,,
131,vss,131,,,,,,,,,,,
132,vss,132,,,,,,,,,,,
133,vss,133,,,,,,,,,,,
134,vss,134,,,,,,,,,,,
135,vss,135,,,,,,,,,,,
136,vss,136,,,,,,,,,,,
137,vss,137,,,,,,,,,,,
138,vss,138,,,,,,,,,,,
139,vss,139,,,,,,,,,,,
140,vss,140,,,,,,,,,,,
141,vss,141,,,,,,,,,,,
142,vss,142,,,,,,,,,,,
143,vss,143,,,,,,,,,,,
144,vss,144,,,,,,,,,,,
145,,145,,,,,,,,,,,
146,,146,,,,,,,,,,,
147,,147,,,,,,,,,,,
148,,148,,,,,,,,,,,
149,,149,,,,,,,,,,,
150,,150,,,,,,,,,,,
151,,151,,,,,,,,,,,
152,,152,,,,,,,,,,,
153,,153,,,,,,,,,,,
154,,154,,,,,,,,,,,
155,,155,,,,,,,,,,,
156,,156,,,,,,,,,,,
157,,157,,,,,,,,,,,
158,,158,,,,,,,,,,,
159,,159,,,,,,,,,,,
160,,160,,,,,,,,,,,
161,,161,,,,,,,,,,,
162,vddio,162,,,,,,,,,,,
163,,163,,,,,,,,,,,
164,vss,164,,,,,,,,,,,
165,vdd,165,,,,,,,,,,,
166,vss,166,,,,,,,,,,,
167,vss,167,,,,,,,,,,,
168,clk_ic,168,,,,,,,,,,,
169,vddio,169,,,,,,,,,,,
170,vss,170,,,,,,,,,,,
171,vss,171,,,,,,,,,,,
172,clk_core,172,,,,,,,,,,,
173,vss,173,,,,,,,,,,,
174,,174,,,,,,,,,,,
175,din43,175,,,,,,,,,,,
176,input_full,176,,,,,,,,,,,
177,vss,177,,,,,,,,,,,
178,output_empty,178,,,,,,,,,,,
179,din45,179,,,,,,,,,,,
180,vddio,180,,,,,,,,,,,
181,din44,181,,,,,,,,,,,
182,vdd,182,,,,,,,,,,,
183,din47,183,,,,,,,,,,,
184,vss,184,,,,,,,,,,,
185,din46,185,,,,,,,,,,,
186,vss,186,,,,,,,,,,,
187,vdd,187,,,,,,,,,,,
188,rst_n_io,188,,,,,,,,,,,
189,din48,189,,,,,,,,,,,
190,rst_n_core,190,,,,,,,,,,,
191,vss,191,,,,,,,,,,,
192,macDone_interrupt,192,,,,,,,,,,,
193,vddio,193,,,,,,,,,,,
194,macErr_interrput,194,,,,,,,,,,,
195,din49,195,,,,,,,,,,,
196,vddio,196,,,,,,,,,,,
197,vss,197,,,,,,,,,,,
198,vdd,198,,,,,,,,,,,
199,din51,199,,,,,,,,,,,
200,vss,200,,,,,,,,,,,
201,din50,201,,,,,,,,,,,
202,vss,202,,,,,,,,,,,
203,din53,203,,,,,,,,,,,
204,wr_en,204,,,,,,,,,,,
205,din52,205,,,,,,,,,,,
206,en,206,,,,,,,,,,,
207,vdd,207,,,,,,,,,,,
208,add15,208,,,,,,,,,,,
209,din54,209,,,,,,,,,,,
210,add14,210,,,,,,,,,,,
211,vss,211,,,,,,,,,,,
212,add13,212,,,,,,,,,,,
213,vddio,213,,,,,,,,,,,
214,add12,214,,,,,,,,,,,
215,din55,215,,,,,,,,,,,
216,vddio,216,,,,,,,,,,,
217,vss,217,,,,,,,,,,,
218,vdd,218,,,,,,,,,,,
219,din57,219,,,,,,,,,,,
220,vss,220,,,,,,,,,,,
221,din56,221,,,,,,,,,,,
222,vss,222,,,,,,,,,,,
223,din59,223,,,,,,,,,,,
224,add11,224,,,,,,,,,,,
225,din58,225,,,,,,,,,,,
226,add10,226,,,,,,,,,,,
227,vdd,227,,,,,,,,,,,
228,add9,228,,,,,,,,,,,
229,din60,229,,,,,,,,,,,
230,add8,230,,,,,,,,,,,
231,vss,231,,,,,,,,,,,
232,add7,232,,,,,,,,,,,
233,vddio,233,,,,,,,,,,,
234,add6,234,,,,,,,,,,,
235,din61,235,,,,,,,,,,,
236,vddio,236,,,,,,,,,,,
237,vss,237,,,,,,,,,,,
238,vdd,238,,,,,,,,,,,
239,din63,239,,,,,,,,,,,
240,vss,240,,,,,,,,,,,
241,din62,241,,,,,,,,,,,
242,vss,242,,,,,,,,,,,
243,vss,243,,,,,,,,,,,
244,add5,244,,,,,,,,,,,
245,vss,245,,,,,,,,,,,
246,add4,246,,,,,,,,,,,
247,vdd,247,,,,,,,,,,,
248,add3,248,,,,,,,,,,,
249,vddio,249,,,,,,,,,,,
250,add2,250,,,,,,,,,,,
251,,251,,,,,,,,,,,
252,add1,252,,,,,,,,,,,
253,,253,,,,,,,,,,,
254,add0,254,,,,,,,,,,,
255,,255,,,,,,,,,,,
256,vss,256,,,,,,,,,,,
257,,257,,,,,,,,,,,
258,,258,,,,,,,,,,,
259,,259,,,,,,,,,,,
260,,260,,,,,,,,,,,
